,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret22,4,1,1,-1,1
2,cret22,4,2,1,55.0,0
3,cret22,4,3,1,80,0
4,cret22,4,4,1,60.0,0
5,cret22,4,5,1,-1,1
6,cret22,4,6,1,80,0
7,cret22,4,7,1,-1,1
8,cret22,4,8,1,-1,1
9,cret22,4,9,1,55.0,0
10,cret22,4,10,1,-1,1
11,cret22,4,11,1,-1,1
12,cret22,4,12,1,80,0
13,cret22,4,13,1,-1,1
14,cret22,4,14,1,-1,1
15,cret22,4,15,1,-1,1
16,cret22,4,16,1,-1,1
17,cret22,4,17,1,-1,1
18,cret22,4,18,1,-1,1
19,cret22,4,19,1,80,0
20,cret22,4,20,1,-1,1
21,cret22,4,21,1,55.0,0
22,cret22,4,22,1,80,0
23,cret22,4,23,1,60.0,0
24,cret22,4,24,1,80,0
25,cret22,4,25,1,80,0
26,cret22,4,26,1,-1,1
27,cret22,4,27,1,75.0,0
28,cret22,4,28,1,70.0,0
29,cret22,4,29,1,-1,1
30,cret22,4,30,1,-1,1
31,cret22,4,31,1,120.0,0
32,cret22,4,32,1,65.0,0
33,cret22,4,33,1,-1,1
34,cret22,4,34,1,60.0,0
35,cret22,4,35,1,50.0,0
36,cret22,4,36,1,80,0
37,cret22,4,37,1,80,0
38,cret22,4,38,1,80,0
39,cret22,4,39,1,80,0
40,cret22,4,40,1,-1,1
