,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret29,2,1,1,50.0,0
2,cret29,2,2,1,60.0,0
3,cret29,2,3,1,80.0,0
4,cret29,2,4,1,80.0,0
5,cret29,2,5,1,90.0,0
6,cret29,2,6,1,-1.0,1
7,cret29,2,7,1,60.0,0
8,cret29,2,8,1,80.0,0
9,cret29,2,9,1,90.0,0
10,cret29,2,10,1,80.0,0
11,cret29,2,11,1,67.0,0
12,cret29,2,12,1,80.0,0
13,cret29,2,13,1,60.0,0
14,cret29,2,14,1,80.0,0
15,cret29,2,15,1,95.0,0
16,cret29,2,16,1,80.0,0
17,cret29,2,17,1,80.0,0
18,cret29,2,18,1,80.0,0
19,cret29,2,19,1,80.0,0
20,cret29,2,20,1,80.0,0
21,cret29,2,21,1,80.0,0
22,cret29,2,22,1,80.0,0
23,cret29,2,23,1,80.0,0
24,cret29,2,24,1,80.0,0
25,cret29,2,25,1,80.0,0
26,cret29,2,26,1,50.0,0
27,cret29,2,27,1,80.0,0
28,cret29,2,28,1,80.0,0
29,cret29,2,29,1,80.0,0
30,cret29,2,30,1,55.0,0
31,cret29,2,31,1,95.0,0
32,cret29,2,32,1,80.0,0
33,cret29,2,33,1,-1.0,1
34,cret29,2,34,1,80.0,0
35,cret29,2,35,1,-1.0,1
36,cret29,2,36,1,80.0,0
37,cret29,2,37,1,80.0,0
38,cret29,2,38,1,65.0,0
39,cret29,2,39,1,80.0,0
40,cret29,2,40,1,115.0,0
