,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret21,3,1,1,80,0
2,cret21,3,2,1,80,0
3,cret21,3,3,1,80,0
4,cret21,3,4,1,-1,1
5,cret21,3,5,1,80,0
6,cret21,3,6,1,-1,1
7,cret21,3,7,1,80,0
8,cret21,3,8,1,-1,1
9,cret21,3,9,1,-1,1
10,cret21,3,10,1,-1,1
11,cret21,3,11,1,-1,1
12,cret21,3,12,1,-1,1
13,cret21,3,13,1,45.0,0
14,cret21,3,14,1,80,0
15,cret21,3,15,1,60.0,0
16,cret21,3,16,1,-1,1
17,cret21,3,17,1,60.0,0
18,cret21,3,18,1,-1,1
19,cret21,3,19,1,-1,1
20,cret21,3,20,1,-1,1
21,cret21,3,21,1,-1,1
22,cret21,3,22,1,80,0
23,cret21,3,23,1,60.0,0
24,cret21,3,24,1,80,0
25,cret21,3,25,1,-1,1
26,cret21,3,26,1,-1,1
27,cret21,3,27,1,-1,1
28,cret21,3,28,1,65.0,0
29,cret21,3,29,1,-1,1
30,cret21,3,30,1,-1,1
31,cret21,3,31,1,-1,1
32,cret21,3,32,1,-1,1
33,cret21,3,33,1,-1,1
34,cret21,3,34,1,-1,1
35,cret21,3,35,1,60.0,0
36,cret21,3,36,1,-1,1
37,cret21,3,37,1,-1,1
38,cret21,3,38,1,-1,1
39,cret21,3,39,1,55.0,0
40,cret21,3,40,1,120.0,0
