,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret25,2,1,1,60.0,0
2,cret25,2,2,1,95.0,0
3,cret25,2,3,1,110.0,0
4,cret25,2,4,1,80.0,0
5,cret25,2,5,1,95.0,0
6,cret25,2,6,1,80.0,0
7,cret25,2,7,1,70.0,0
8,cret25,2,8,1,70.0,0
9,cret25,2,9,1,100.0,0
10,cret25,2,10,1,-1.0,1
11,cret25,2,11,1,70.0,0
12,cret25,2,12,1,80.0,0
13,cret25,2,13,1,65.0,0
14,cret25,2,14,1,90.0,0
15,cret25,2,15,1,80.0,0
16,cret25,2,16,1,90.0,0
17,cret25,2,17,1,-1.0,1
18,cret25,2,18,1,-1.0,1
19,cret25,2,19,1,80.0,0
20,cret25,2,20,1,80.0,0
21,cret25,2,21,1,70.0,0
22,cret25,2,22,1,95.0,0
23,cret25,2,23,1,85.0,0
24,cret25,2,24,1,80.0,0
25,cret25,2,25,1,65.0,0
26,cret25,2,26,1,80.0,0
27,cret25,2,27,1,85.0,0
28,cret25,2,28,1,80.0,0
29,cret25,2,29,1,-1.0,1
30,cret25,2,30,1,80.0,0
31,cret25,2,31,1,105.0,0
32,cret25,2,32,1,-1.0,1
33,cret25,2,33,1,70.0,0
34,cret25,2,34,1,80.0,0
35,cret25,2,35,1,80.0,0
36,cret25,2,36,1,70.0,0
37,cret25,2,37,1,80.0,0
38,cret25,2,38,1,80.0,0
39,cret25,2,39,1,-1.0,1
40,cret25,2,40,1,70.0,0
