,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret28,4,1,1,-1,1
2,cret28,4,2,1,80,0
3,cret28,4,3,1,80,0
4,cret28,4,4,1,90.0,0
5,cret28,4,5,1,-1,1
6,cret28,4,6,1,85.0,0
7,cret28,4,7,1,-1,1
8,cret28,4,8,1,-1,1
9,cret28,4,9,1,-1,1
10,cret28,4,10,1,80,0
11,cret28,4,11,1,-1,1
12,cret28,4,12,1,85.0,0
13,cret28,4,13,1,80,0
14,cret28,4,14,1,90.0,0
15,cret28,4,15,1,80,0
16,cret28,4,16,1,115.0,0
17,cret28,4,17,1,105.0,0
18,cret28,4,18,1,80,0
19,cret28,4,19,1,80,0
20,cret28,4,20,1,80,0
21,cret28,4,21,1,80,0
22,cret28,4,22,1,90.0,0
23,cret28,4,23,1,100.0,0
24,cret28,4,24,1,115.0,0
25,cret28,4,25,1,80,0
26,cret28,4,26,1,-1,1
27,cret28,4,27,1,90.0,0
28,cret28,4,28,1,80,0
29,cret28,4,29,1,120.0,0
30,cret28,4,30,1,80,0
31,cret28,4,31,1,90.0,0
32,cret28,4,32,1,75.0,0
33,cret28,4,33,1,100.0,0
34,cret28,4,34,1,60.0,0
35,cret28,4,35,1,80,0
36,cret28,4,36,1,95.0,0
37,cret28,4,37,1,80,0
38,cret28,4,38,1,80,0
39,cret28,4,39,1,80,0
40,cret28,4,40,1,-1,1
