,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret17,4,1,1,95.0,0
2,cret17,4,2,1,80.0,0
3,cret17,4,3,1,90.0,0
4,cret17,4,4,1,90.0,0
5,cret17,4,5,1,80.0,0
6,cret17,4,6,1,90.0,0
7,cret17,4,7,1,80.0,0
8,cret17,4,8,1,90.0,0
9,cret17,4,9,1,60.0,0
10,cret17,4,10,1,80.0,0
11,cret17,4,11,1,90.0,0
12,cret17,4,12,1,145.0,0
13,cret17,4,13,1,90.0,0
14,cret17,4,14,1,145.0,0
15,cret17,4,15,1,115.0,0
16,cret17,4,16,1,90.0,0
17,cret17,4,17,1,70.0,0
18,cret17,4,18,1,80.0,0
19,cret17,4,19,1,80.0,0
20,cret17,4,20,1,90.0,0
21,cret17,4,21,1,95.0,0
22,cret17,4,22,1,90.0,0
23,cret17,4,23,1,70.0,0
24,cret17,4,24,1,90.0,0
25,cret17,4,25,1,90.0,0
26,cret17,4,26,1,90.0,0
27,cret17,4,27,1,90.0,0
28,cret17,4,28,1,75.0,0
29,cret17,4,29,1,95.0,0
30,cret17,4,30,1,90.0,0
31,cret17,4,31,1,75.0,0
32,cret17,4,32,1,75.0,0
33,cret17,4,33,1,90.0,0
34,cret17,4,34,1,90.0,0
35,cret17,4,35,1,90.0,0
36,cret17,4,36,1,80.0,0
37,cret17,4,37,1,70.0,0
38,cret17,4,38,1,90.0,0
39,cret17,4,39,1,105.0,0
40,cret17,4,40,1,80.0,0
