,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret21,2,1,1,80,0
2,cret21,2,2,1,65.0,0
3,cret21,2,3,1,80,0
4,cret21,2,4,1,45.0,0
5,cret21,2,5,1,80,0
6,cret21,2,6,1,80,0
7,cret21,2,7,1,70.0,0
8,cret21,2,8,1,-1,1
9,cret21,2,9,1,65.0,0
10,cret21,2,10,1,-1,1
11,cret21,2,11,1,80,0
12,cret21,2,12,1,-1,1
13,cret21,2,13,1,-1,1
14,cret21,2,14,1,-1,1
15,cret21,2,15,1,80,0
16,cret21,2,16,1,65.0,0
17,cret21,2,17,1,70.0,0
18,cret21,2,18,1,-1,1
19,cret21,2,19,1,-1,1
20,cret21,2,20,1,65.0,0
21,cret21,2,21,1,80,0
22,cret21,2,22,1,80,0
23,cret21,2,23,1,80,0
24,cret21,2,24,1,80,0
25,cret21,2,25,1,80,0
26,cret21,2,26,1,-1,1
27,cret21,2,27,1,-1,1
28,cret21,2,28,1,-1,1
29,cret21,2,29,1,-1,1
30,cret21,2,30,1,80,0
31,cret21,2,31,1,-1,1
32,cret21,2,32,1,105.0,0
33,cret21,2,33,1,70.0,0
34,cret21,2,34,1,80,0
35,cret21,2,35,1,80,0
36,cret21,2,36,1,-1,1
37,cret21,2,37,1,-1,1
38,cret21,2,38,1,80,0
39,cret21,2,39,1,70.0,0
40,cret21,2,40,1,-1,1
