,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret19,2,1,1,80,0
2,cret19,2,2,1,70.0,0
3,cret19,2,3,1,-1,1
4,cret19,2,4,1,45.0,0
5,cret19,2,5,1,75.0,0
6,cret19,2,6,1,-1,1
7,cret19,2,7,1,80,0
8,cret19,2,8,1,80,0
9,cret19,2,9,1,-1,1
10,cret19,2,10,1,-1,1
11,cret19,2,11,1,45.0,0
12,cret19,2,12,1,-1,1
13,cret19,2,13,1,60.0,0
14,cret19,2,14,1,-1,1
15,cret19,2,15,1,-1,1
16,cret19,2,16,1,80,0
17,cret19,2,17,1,80,0
18,cret19,2,18,1,80,0
19,cret19,2,19,1,50.0,0
20,cret19,2,20,1,35.0,0
21,cret19,2,21,1,-1,1
22,cret19,2,22,1,-1,1
23,cret19,2,23,1,-1,1
24,cret19,2,24,1,-1,1
25,cret19,2,25,1,-1,1
26,cret19,2,26,1,-1,1
27,cret19,2,27,1,-1,1
28,cret19,2,28,1,55.0,0
29,cret19,2,29,1,45.0,0
30,cret19,2,30,1,-1,1
31,cret19,2,31,1,35.0,0
32,cret19,2,32,1,60.0,0
33,cret19,2,33,1,80,0
34,cret19,2,34,1,-1,1
35,cret19,2,35,1,85.0,0
36,cret19,2,36,1,55.0,0
37,cret19,2,37,1,-1,1
38,cret19,2,38,1,-1,1
39,cret19,2,39,1,-1,1
40,cret19,2,40,1,-1,1
