,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret24,3,1,1,80.0,0
2,cret24,3,2,1,80.0,0
3,cret24,3,3,1,80.0,0
4,cret24,3,4,1,80.0,0
5,cret24,3,5,1,80.0,0
6,cret24,3,6,1,80.0,0
7,cret24,3,7,1,80.0,0
8,cret24,3,8,1,80.0,0
9,cret24,3,9,1,80.0,0
10,cret24,3,10,1,80.0,0
11,cret24,3,11,1,80.0,0
12,cret24,3,12,1,110.0,0
13,cret24,3,13,1,80.0,0
14,cret24,3,14,1,80.0,0
15,cret24,3,15,1,80.0,0
16,cret24,3,16,1,80.0,0
17,cret24,3,17,1,80.0,0
18,cret24,3,18,1,80.0,0
19,cret24,3,19,1,80.0,0
20,cret24,3,20,1,80.0,0
21,cret24,3,21,1,80.0,0
22,cret24,3,22,1,80.0,0
23,cret24,3,23,1,80.0,0
24,cret24,3,24,1,80.0,0
25,cret24,3,25,1,80.0,0
26,cret24,3,26,1,55.0,0
27,cret24,3,27,1,75.0,0
28,cret24,3,28,1,80.0,0
29,cret24,3,29,1,109.0,0
30,cret24,3,30,1,80.0,0
31,cret24,3,31,1,80.0,0
32,cret24,3,32,1,95.0,0
33,cret24,3,33,1,85.0,0
34,cret24,3,34,1,80.0,0
35,cret24,3,35,1,80.0,0
36,cret24,3,36,1,60.0,0
37,cret24,3,37,1,80.0,0
38,cret24,3,38,1,80.0,0
39,cret24,3,39,1,90.0,0
40,cret24,3,40,1,90.0,0
