,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret11,4,1,1,95.0,0
2,cret11,4,2,1,95.0,0
3,cret11,4,3,1,95.0,0
4,cret11,4,4,1,95.0,0
5,cret11,4,5,1,95.0,0
6,cret11,4,6,1,75.0,0
7,cret11,4,7,1,95.0,0
8,cret11,4,8,1,75.0,0
9,cret11,4,9,1,105.0,0
10,cret11,4,10,1,95.0,0
11,cret11,4,11,1,95.0,0
12,cret11,4,12,1,110.0,0
13,cret11,4,13,1,-1.0,1
14,cret11,4,14,1,127.0,0
15,cret11,4,15,1,165.0,0
16,cret11,4,16,1,95.0,0
17,cret11,4,17,1,95.0,0
18,cret11,4,18,1,95.0,0
19,cret11,4,19,1,105.0,0
20,cret11,4,20,1,95.0,0
21,cret11,4,21,1,95.0,0
22,cret11,4,22,1,95.0,0
23,cret11,4,23,1,95.0,0
24,cret11,4,24,1,95.0,0
25,cret11,4,25,1,130.0,0
26,cret11,4,26,1,95.0,0
27,cret11,4,27,1,155.0,0
28,cret11,4,28,1,75.0,0
29,cret11,4,29,1,95.0,0
30,cret11,4,30,1,-1.0,1
31,cret11,4,31,1,175.0,0
32,cret11,4,32,1,95.0,0
33,cret11,4,33,1,95.0,0
34,cret11,4,34,1,95.0,0
35,cret11,4,35,1,95.0,0
36,cret11,4,36,1,-1.0,1
37,cret11,4,37,1,95.0,0
38,cret11,4,38,1,110.0,0
39,cret11,4,39,1,195.0,0
40,cret11,4,40,1,-1.0,1
