,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret08,4,1,1,70,0
2,cret08,4,2,1,-1,1
3,cret08,4,3,1,85.0,0
4,cret08,4,4,1,59.0,0
5,cret08,4,5,1,70,0
6,cret08,4,6,1,-1,1
7,cret08,4,7,1,75.0,0
8,cret08,4,8,1,95.0,0
9,cret08,4,9,1,80.0,0
10,cret08,4,10,1,70,0
11,cret08,4,11,1,-1,1
12,cret08,4,12,1,85.0,0
13,cret08,4,13,1,70,0
14,cret08,4,14,1,70,0
15,cret08,4,15,1,70,0
16,cret08,4,16,1,100.0,0
17,cret08,4,17,1,83.0,0
18,cret08,4,18,1,78.0,0
19,cret08,4,19,1,80.0,0
20,cret08,4,20,1,70,0
21,cret08,4,21,1,-1,1
22,cret08,4,22,1,92.0,0
23,cret08,4,23,1,70,0
24,cret08,4,24,1,75.0,0
25,cret08,4,25,1,70,0
26,cret08,4,26,1,83.0,0
27,cret08,4,27,1,67.0,0
28,cret08,4,28,1,70,0
29,cret08,4,29,1,-1,1
30,cret08,4,30,1,85.0,0
31,cret08,4,31,1,70,0
32,cret08,4,32,1,100.0,0
33,cret08,4,33,1,110.0,0
34,cret08,4,34,1,-1,1
35,cret08,4,35,1,70,0
36,cret08,4,36,1,85.0,0
37,cret08,4,37,1,70,0
38,cret08,4,38,1,70,0
39,cret08,4,39,1,80.0,0
40,cret08,4,40,1,-1,1
