,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret27,2,1,1,70.0,0
2,cret27,2,2,1,65.0,0
3,cret27,2,3,1,85.0,0
4,cret27,2,4,1,90.0,0
5,cret27,2,5,1,80,0
6,cret27,2,6,1,-1,1
7,cret27,2,7,1,80,0
8,cret27,2,8,1,40.0,0
9,cret27,2,9,1,110.0,0
10,cret27,2,10,1,65.0,0
11,cret27,2,11,1,80,0
12,cret27,2,12,1,-1,1
13,cret27,2,13,1,80,0
14,cret27,2,14,1,80,0
15,cret27,2,15,1,80,0
16,cret27,2,16,1,80,0
17,cret27,2,17,1,110.0,0
18,cret27,2,18,1,80,0
19,cret27,2,19,1,80,0
20,cret27,2,20,1,80,0
21,cret27,2,21,1,80,0
22,cret27,2,22,1,80,0
23,cret27,2,23,1,80,0
24,cret27,2,24,1,80,0
25,cret27,2,25,1,80,0
26,cret27,2,26,1,80,0
27,cret27,2,27,1,80,0
28,cret27,2,28,1,80,0
29,cret27,2,29,1,80,0
30,cret27,2,30,1,80,0
31,cret27,2,31,1,80,0
32,cret27,2,32,1,80,0
33,cret27,2,33,1,80,0
34,cret27,2,34,1,80,0
35,cret27,2,35,1,80,0
36,cret27,2,36,1,80,0
37,cret27,2,37,1,80,0
38,cret27,2,38,1,80,0
39,cret27,2,39,1,80,0
40,cret27,2,40,1,95.0,0
