,sub_id,block_nr,trial_number,completed,endingVelCrit,skip_trial
1,cret08,1,1,1,85.0,0
2,cret08,1,2,1,-1,1
3,cret08,1,3,1,-1,1
4,cret08,1,4,1,70,0
5,cret08,1,5,1,75.0,0
6,cret08,1,6,1,65.0,0
7,cret08,1,7,1,70,0
8,cret08,1,8,1,70,0
9,cret08,1,9,1,70,0
10,cret08,1,10,1,60.0,0
11,cret08,1,11,1,70,0
12,cret08,1,12,1,85.0,0
13,cret08,1,13,1,70,0
14,cret08,1,14,1,90.0,0
15,cret08,1,15,1,55.0,0
16,cret08,1,16,1,90.0,0
17,cret08,1,17,1,-1,1
18,cret08,1,18,1,55.0,0
19,cret08,1,19,1,-1,1
20,cret08,1,20,1,70.0,0
21,cret08,1,21,1,70,0
22,cret08,1,22,1,70,0
23,cret08,1,23,1,80.0,0
24,cret08,1,24,1,105.0,0
25,cret08,1,25,1,70,0
26,cret08,1,26,1,70,0
27,cret08,1,27,1,70,0
28,cret08,1,28,1,70,0
29,cret08,1,29,1,85.0,0
30,cret08,1,30,1,60.0,0
31,cret08,1,31,1,77.0,0
32,cret08,1,32,1,60.0,0
33,cret08,1,33,1,70,0
34,cret08,1,34,1,75.0,0
35,cret08,1,35,1,70,0
36,cret08,1,36,1,75.0,0
37,cret08,1,37,1,70,0
38,cret08,1,38,1,70,0
39,cret08,1,39,1,-1,1
40,cret08,1,40,1,75.0,0
