sub_id,trial_type,mean_time_looking_at_pref,mean_percentage_looking_at_pref,mean_response_time
cret01,non_high_pref,304.45,0.617803377031,1187.34862284
cret03,non_high_pref,505.5,0.534474727691,1459.13587482
cret04,non_high_pref,366.01369863,0.537339552998,986.479934853
cret05,non_high_pref,431.790123457,0.476773123975,1163.2286226
cret06,non_high_pref,,,
cret07,non_high_pref,549.694444444,0.467109765697,1338.52685876
cret08,non_high_pref,685.388888889,0.58827991817,1528.00354914
cret09,non_high_pref,427.13559322,0.78345783418,837.235319181
cret10,non_high_pref,490.875,0.715612716114,853.644990215
cret11,non_high_pref,364.144736842,0.513761996561,1171.46803345
cret01,high_pref,627.25,0.743412004012,1233.44492288
cret03,high_pref,364.151515152,0.600490790115,1127.34411652
cret04,high_pref,404.394736842,0.667594185915,817.73244028
cret05,high_pref,362.285714286,0.569035340643,884.047099098
cret06,high_pref,261.397435897,0.840744788497,530.476898018
cret07,high_pref,538.350877193,0.516444688197,1197.16292161
cret08,high_pref,623.228571429,0.632813525988,1366.21623049
cret09,high_pref,394.254545455,0.779142465786,770.372952715
cret10,high_pref,458.880597015,0.755357036178,762.985738746
cret11,high_pref,305.387096774,0.629372738679,837.914021154
