sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,CIG,alcohol,1088.0,3.0,0.0,0.0
1.0,2.0,CIG,cigarette,1088.0,3.0,2.0,0.666666666667
1.0,2.0,CIG,neutral,1088.0,3.0,1.0,0.333333333333
2.0,2.0,CIG,alcohol,1088.0,5.0,0.0,0.0
2.0,2.0,CIG,cigarette,1088.0,5.0,2.0,0.4
2.0,2.0,CIG,neutral,1088.0,5.0,3.0,0.6
3.0,2.0,CIG,alcohol,1088.0,7.0,2.0,0.285714285714
3.0,2.0,CIG,cigarette,1088.0,7.0,4.0,0.571428571429
3.0,2.0,CIG,neutral,1088.0,7.0,1.0,0.142857142857
4.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
4.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
4.0,2.0,CIG,neutral,1088.0,0.0,0.0,
5.0,2.0,CIG,alcohol,1088.0,2.0,1.0,0.5
5.0,2.0,CIG,cigarette,1088.0,2.0,1.0,0.5
5.0,2.0,CIG,neutral,1088.0,2.0,0.0,0.0
6.0,2.0,CIG,alcohol,1088.0,16.0,9.0,0.5625
6.0,2.0,CIG,cigarette,1088.0,16.0,5.0,0.3125
6.0,2.0,CIG,neutral,1088.0,16.0,2.0,0.125
7.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
7.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
7.0,2.0,CIG,neutral,1088.0,0.0,0.0,
8.0,2.0,CIG,alcohol,1088.0,3.0,2.0,0.666666666667
8.0,2.0,CIG,cigarette,1088.0,3.0,1.0,0.333333333333
8.0,2.0,CIG,neutral,1088.0,3.0,0.0,0.0
9.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
9.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
9.0,2.0,CIG,neutral,1088.0,0.0,0.0,
10.0,2.0,CIG,alcohol,1088.0,8.0,3.0,0.375
10.0,2.0,CIG,cigarette,1088.0,8.0,2.0,0.25
10.0,2.0,CIG,neutral,1088.0,8.0,3.0,0.375
11.0,2.0,CIG,alcohol,1088.0,25.0,12.0,0.48
11.0,2.0,CIG,cigarette,1088.0,25.0,9.0,0.36
11.0,2.0,CIG,neutral,1088.0,25.0,4.0,0.16
12.0,2.0,CIG,alcohol,1088.0,4.0,1.0,0.25
12.0,2.0,CIG,cigarette,1088.0,4.0,1.0,0.25
12.0,2.0,CIG,neutral,1088.0,4.0,2.0,0.5
13.0,2.0,CIG,alcohol,1088.0,15.0,2.0,0.133333333333
13.0,2.0,CIG,cigarette,1088.0,15.0,6.0,0.4
13.0,2.0,CIG,neutral,1088.0,15.0,7.0,0.466666666667
14.0,2.0,CIG,alcohol,1088.0,16.0,8.0,0.5
14.0,2.0,CIG,cigarette,1088.0,16.0,4.0,0.25
14.0,2.0,CIG,neutral,1088.0,16.0,4.0,0.25
15.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
15.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
15.0,2.0,CIG,neutral,1088.0,0.0,0.0,
16.0,2.0,CIG,alcohol,1088.0,3.0,0.0,0.0
16.0,2.0,CIG,cigarette,1088.0,3.0,2.0,0.666666666667
16.0,2.0,CIG,neutral,1088.0,3.0,1.0,0.333333333333
17.0,2.0,CIG,alcohol,1088.0,3.0,2.0,0.666666666667
17.0,2.0,CIG,cigarette,1088.0,3.0,1.0,0.333333333333
17.0,2.0,CIG,neutral,1088.0,3.0,0.0,0.0
18.0,2.0,CIG,alcohol,1088.0,2.0,1.0,0.5
18.0,2.0,CIG,cigarette,1088.0,2.0,1.0,0.5
18.0,2.0,CIG,neutral,1088.0,2.0,0.0,0.0
19.0,2.0,CIG,alcohol,1088.0,10.0,5.0,0.5
19.0,2.0,CIG,cigarette,1088.0,10.0,5.0,0.5
19.0,2.0,CIG,neutral,1088.0,10.0,0.0,0.0
20.0,2.0,CIG,alcohol,1088.0,16.0,12.0,0.75
20.0,2.0,CIG,cigarette,1088.0,16.0,2.0,0.125
20.0,2.0,CIG,neutral,1088.0,16.0,2.0,0.125
21.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
21.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
21.0,2.0,CIG,neutral,1088.0,0.0,0.0,
22.0,2.0,CIG,alcohol,1088.0,3.0,0.0,0.0
22.0,2.0,CIG,cigarette,1088.0,3.0,3.0,1.0
22.0,2.0,CIG,neutral,1088.0,3.0,0.0,0.0
23.0,2.0,CIG,alcohol,1088.0,2.0,2.0,1.0
23.0,2.0,CIG,cigarette,1088.0,2.0,0.0,0.0
23.0,2.0,CIG,neutral,1088.0,2.0,0.0,0.0
24.0,2.0,CIG,alcohol,1088.0,4.0,2.0,0.5
24.0,2.0,CIG,cigarette,1088.0,4.0,1.0,0.25
24.0,2.0,CIG,neutral,1088.0,4.0,1.0,0.25
25.0,2.0,CIG,alcohol,1088.0,16.0,6.0,0.375
25.0,2.0,CIG,cigarette,1088.0,16.0,8.0,0.5
25.0,2.0,CIG,neutral,1088.0,16.0,2.0,0.125
26.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
26.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
26.0,2.0,CIG,neutral,1088.0,0.0,0.0,
27.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
27.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
27.0,2.0,CIG,neutral,1088.0,0.0,0.0,
28.0,2.0,CIG,alcohol,1088.0,0.0,0.0,
28.0,2.0,CIG,cigarette,1088.0,0.0,0.0,
28.0,2.0,CIG,neutral,1088.0,0.0,0.0,
29.0,2.0,CIG,alcohol,1088.0,23.0,10.0,0.434782608696
29.0,2.0,CIG,cigarette,1088.0,23.0,7.0,0.304347826087
29.0,2.0,CIG,neutral,1088.0,23.0,6.0,0.260869565217
