sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,206.0,7.0,1.0,0.142857142857
1.0,1.0,cigarette,cigarette,206.0,7.0,5.0,0.714285714286
1.0,1.0,cigarette,neutral,206.0,7.0,1.0,0.142857142857
2.0,1.0,cigarette,alcohol,206.0,11.0,4.0,0.363636363636
2.0,1.0,cigarette,cigarette,206.0,11.0,6.0,0.545454545455
2.0,1.0,cigarette,neutral,206.0,11.0,1.0,0.0909090909091
3.0,1.0,cigarette,alcohol,206.0,23.0,9.0,0.391304347826
3.0,1.0,cigarette,cigarette,206.0,23.0,8.0,0.347826086957
3.0,1.0,cigarette,neutral,206.0,23.0,6.0,0.260869565217
4.0,1.0,cigarette,alcohol,206.0,3.0,0.0,0.0
4.0,1.0,cigarette,cigarette,206.0,3.0,3.0,1.0
4.0,1.0,cigarette,neutral,206.0,3.0,0.0,0.0
5.0,1.0,cigarette,alcohol,206.0,21.0,5.0,0.238095238095
5.0,1.0,cigarette,cigarette,206.0,21.0,13.0,0.619047619048
5.0,1.0,cigarette,neutral,206.0,21.0,3.0,0.142857142857
6.0,1.0,cigarette,alcohol,206.0,64.0,9.0,0.140625
6.0,1.0,cigarette,cigarette,206.0,64.0,55.0,0.859375
6.0,1.0,cigarette,neutral,206.0,64.0,0.0,0.0
7.0,1.0,cigarette,alcohol,206.0,47.0,3.0,0.063829787234
7.0,1.0,cigarette,cigarette,206.0,47.0,39.0,0.829787234043
7.0,1.0,cigarette,neutral,206.0,47.0,5.0,0.106382978723
8.0,1.0,cigarette,alcohol,206.0,29.0,3.0,0.103448275862
8.0,1.0,cigarette,cigarette,206.0,29.0,24.0,0.827586206897
8.0,1.0,cigarette,neutral,206.0,29.0,2.0,0.0689655172414
9.0,1.0,cigarette,alcohol,206.0,13.0,2.0,0.153846153846
9.0,1.0,cigarette,cigarette,206.0,13.0,11.0,0.846153846154
9.0,1.0,cigarette,neutral,206.0,13.0,0.0,0.0
10.0,1.0,cigarette,alcohol,206.0,56.0,20.0,0.357142857143
10.0,1.0,cigarette,cigarette,206.0,56.0,24.0,0.428571428571
10.0,1.0,cigarette,neutral,206.0,56.0,12.0,0.214285714286
11.0,1.0,cigarette,alcohol,206.0,10.0,2.0,0.2
11.0,1.0,cigarette,cigarette,206.0,10.0,8.0,0.8
11.0,1.0,cigarette,neutral,206.0,10.0,0.0,0.0
12.0,1.0,cigarette,alcohol,206.0,1.0,0.0,0.0
12.0,1.0,cigarette,cigarette,206.0,1.0,1.0,1.0
12.0,1.0,cigarette,neutral,206.0,1.0,0.0,0.0
13.0,1.0,cigarette,alcohol,206.0,26.0,5.0,0.192307692308
13.0,1.0,cigarette,cigarette,206.0,26.0,17.0,0.653846153846
13.0,1.0,cigarette,neutral,206.0,26.0,4.0,0.153846153846
14.0,1.0,cigarette,alcohol,206.0,39.0,13.0,0.333333333333
14.0,1.0,cigarette,cigarette,206.0,39.0,25.0,0.641025641026
14.0,1.0,cigarette,neutral,206.0,39.0,1.0,0.025641025641
15.0,1.0,cigarette,alcohol,206.0,51.0,10.0,0.196078431373
15.0,1.0,cigarette,cigarette,206.0,51.0,30.0,0.588235294118
15.0,1.0,cigarette,neutral,206.0,51.0,11.0,0.21568627451
16.0,1.0,cigarette,alcohol,206.0,26.0,3.0,0.115384615385
16.0,1.0,cigarette,cigarette,206.0,26.0,20.0,0.769230769231
16.0,1.0,cigarette,neutral,206.0,26.0,3.0,0.115384615385
17.0,1.0,cigarette,alcohol,206.0,33.0,1.0,0.030303030303
17.0,1.0,cigarette,cigarette,206.0,33.0,31.0,0.939393939394
17.0,1.0,cigarette,neutral,206.0,33.0,1.0,0.030303030303
18.0,1.0,cigarette,alcohol,206.0,34.0,11.0,0.323529411765
18.0,1.0,cigarette,cigarette,206.0,34.0,16.0,0.470588235294
18.0,1.0,cigarette,neutral,206.0,34.0,7.0,0.205882352941
19.0,1.0,cigarette,alcohol,206.0,26.0,3.0,0.115384615385
19.0,1.0,cigarette,cigarette,206.0,26.0,21.0,0.807692307692
19.0,1.0,cigarette,neutral,206.0,26.0,2.0,0.0769230769231
20.0,1.0,cigarette,alcohol,206.0,25.0,5.0,0.2
20.0,1.0,cigarette,cigarette,206.0,25.0,17.0,0.68
20.0,1.0,cigarette,neutral,206.0,25.0,3.0,0.12
21.0,1.0,cigarette,alcohol,206.0,25.0,4.0,0.16
21.0,1.0,cigarette,cigarette,206.0,25.0,16.0,0.64
21.0,1.0,cigarette,neutral,206.0,25.0,5.0,0.2
22.0,1.0,cigarette,alcohol,206.0,28.0,3.0,0.107142857143
22.0,1.0,cigarette,cigarette,206.0,28.0,23.0,0.821428571429
22.0,1.0,cigarette,neutral,206.0,28.0,2.0,0.0714285714286
23.0,1.0,cigarette,alcohol,206.0,25.0,4.0,0.16
23.0,1.0,cigarette,cigarette,206.0,25.0,19.0,0.76
23.0,1.0,cigarette,neutral,206.0,25.0,2.0,0.08
24.0,1.0,cigarette,alcohol,206.0,22.0,10.0,0.454545454545
24.0,1.0,cigarette,cigarette,206.0,22.0,10.0,0.454545454545
24.0,1.0,cigarette,neutral,206.0,22.0,2.0,0.0909090909091
25.0,1.0,cigarette,alcohol,206.0,20.0,2.0,0.1
25.0,1.0,cigarette,cigarette,206.0,20.0,17.0,0.85
25.0,1.0,cigarette,neutral,206.0,20.0,1.0,0.05
26.0,1.0,cigarette,alcohol,206.0,18.0,0.0,0.0
26.0,1.0,cigarette,cigarette,206.0,18.0,18.0,1.0
26.0,1.0,cigarette,neutral,206.0,18.0,0.0,0.0
27.0,1.0,cigarette,alcohol,206.0,23.0,10.0,0.434782608696
27.0,1.0,cigarette,cigarette,206.0,23.0,7.0,0.304347826087
27.0,1.0,cigarette,neutral,206.0,23.0,6.0,0.260869565217
28.0,1.0,cigarette,alcohol,206.0,39.0,8.0,0.205128205128
28.0,1.0,cigarette,cigarette,206.0,39.0,28.0,0.717948717949
28.0,1.0,cigarette,neutral,206.0,39.0,3.0,0.0769230769231
29.0,1.0,cigarette,alcohol,206.0,49.0,3.0,0.0612244897959
29.0,1.0,cigarette,cigarette,206.0,49.0,44.0,0.897959183673
29.0,1.0,cigarette,neutral,206.0,49.0,2.0,0.0408163265306
1.0,1.0,alcohol,alcohol,206.0,11.0,11.0,1.0
1.0,1.0,alcohol,cigarette,206.0,11.0,0.0,0.0
1.0,1.0,alcohol,neutral,206.0,11.0,0.0,0.0
2.0,1.0,alcohol,alcohol,206.0,62.0,59.0,0.951612903226
2.0,1.0,alcohol,cigarette,206.0,62.0,2.0,0.0322580645161
2.0,1.0,alcohol,neutral,206.0,62.0,1.0,0.0161290322581
3.0,1.0,alcohol,alcohol,206.0,46.0,38.0,0.826086956522
3.0,1.0,alcohol,cigarette,206.0,46.0,6.0,0.130434782609
3.0,1.0,alcohol,neutral,206.0,46.0,2.0,0.0434782608696
4.0,1.0,alcohol,alcohol,206.0,62.0,58.0,0.935483870968
4.0,1.0,alcohol,cigarette,206.0,62.0,4.0,0.0645161290323
