sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
6.0,3.0,cigarette,neutral,794.0,0.0,0.25
7.0,3.0,cigarette,alcohol,794.0,0.0,0.166666666667
7.0,3.0,cigarette,cigarette,794.0,0.0,0.833333333333
7.0,3.0,cigarette,neutral,794.0,0.0,0.0
8.0,3.0,cigarette,alcohol,794.0,0.0,0.5
8.0,3.0,cigarette,cigarette,794.0,0.0,0.25
8.0,3.0,cigarette,neutral,794.0,0.0,0.25
9.0,3.0,cigarette,alcohol,794.0,0.0,
9.0,3.0,cigarette,cigarette,794.0,0.0,
9.0,3.0,cigarette,neutral,794.0,0.0,
10.0,3.0,cigarette,alcohol,794.0,0.0,
10.0,3.0,cigarette,cigarette,794.0,0.0,
10.0,3.0,cigarette,neutral,794.0,0.0,
11.0,3.0,cigarette,alcohol,794.0,0.0,0.4
11.0,3.0,cigarette,cigarette,794.0,0.0,0.4
11.0,3.0,cigarette,neutral,794.0,0.0,0.2
12.0,3.0,cigarette,alcohol,794.0,0.0,
12.0,3.0,cigarette,cigarette,794.0,0.0,
12.0,3.0,cigarette,neutral,794.0,0.0,
13.0,3.0,cigarette,alcohol,794.0,0.0,
13.0,3.0,cigarette,cigarette,794.0,0.0,
13.0,3.0,cigarette,neutral,794.0,0.0,
14.0,3.0,cigarette,alcohol,794.0,0.0,
14.0,3.0,cigarette,cigarette,794.0,0.0,
14.0,3.0,cigarette,neutral,794.0,0.0,
15.0,3.0,cigarette,alcohol,794.0,0.0,0.428571428571
15.0,3.0,cigarette,cigarette,794.0,0.0,0.285714285714
15.0,3.0,cigarette,neutral,794.0,0.0,0.285714285714
16.0,3.0,cigarette,alcohol,794.0,0.0,0.25
16.0,3.0,cigarette,cigarette,794.0,0.0,0.25
16.0,3.0,cigarette,neutral,794.0,0.0,0.5
17.0,3.0,cigarette,alcohol,794.0,0.0,
17.0,3.0,cigarette,cigarette,794.0,0.0,
17.0,3.0,cigarette,neutral,794.0,0.0,
18.0,3.0,cigarette,alcohol,794.0,0.0,
18.0,3.0,cigarette,cigarette,794.0,0.0,
18.0,3.0,cigarette,neutral,794.0,0.0,
19.0,3.0,cigarette,alcohol,794.0,0.0,
19.0,3.0,cigarette,cigarette,794.0,0.0,
19.0,3.0,cigarette,neutral,794.0,0.0,
20.0,3.0,cigarette,alcohol,794.0,0.0,
20.0,3.0,cigarette,cigarette,794.0,0.0,
20.0,3.0,cigarette,neutral,794.0,0.0,
21.0,3.0,cigarette,alcohol,794.0,0.0,0.666666666667
21.0,3.0,cigarette,cigarette,794.0,0.0,0.333333333333
21.0,3.0,cigarette,neutral,794.0,0.0,0.0
22.0,3.0,cigarette,alcohol,794.0,0.0,
22.0,3.0,cigarette,cigarette,794.0,0.0,
22.0,3.0,cigarette,neutral,794.0,0.0,
23.0,3.0,cigarette,alcohol,794.0,0.0,1.0
23.0,3.0,cigarette,cigarette,794.0,0.0,0.0
23.0,3.0,cigarette,neutral,794.0,0.0,0.0
24.0,3.0,cigarette,alcohol,794.0,0.0,0.0
24.0,3.0,cigarette,cigarette,794.0,0.0,1.0
24.0,3.0,cigarette,neutral,794.0,0.0,0.0
25.0,3.0,cigarette,alcohol,794.0,0.0,
25.0,3.0,cigarette,cigarette,794.0,0.0,
25.0,3.0,cigarette,neutral,794.0,0.0,
26.0,3.0,cigarette,alcohol,794.0,0.0,0.0
26.0,3.0,cigarette,cigarette,794.0,0.0,0.25
26.0,3.0,cigarette,neutral,794.0,0.0,0.75
27.0,3.0,cigarette,alcohol,794.0,0.0,0.333333333333
27.0,3.0,cigarette,cigarette,794.0,0.0,0.5
27.0,3.0,cigarette,neutral,794.0,0.0,0.166666666667
28.0,3.0,cigarette,alcohol,794.0,0.0,
28.0,3.0,cigarette,cigarette,794.0,0.0,
28.0,3.0,cigarette,neutral,794.0,0.0,
29.0,3.0,cigarette,alcohol,794.0,0.0,0.666666666667
29.0,3.0,cigarette,cigarette,794.0,0.0,0.333333333333
29.0,3.0,cigarette,neutral,794.0,0.0,0.0
1.0,3.0,neutral,alcohol,794.0,0.0,
1.0,3.0,neutral,cigarette,794.0,0.0,
1.0,3.0,neutral,neutral,794.0,0.0,
2.0,3.0,neutral,alcohol,794.0,0.0,
2.0,3.0,neutral,cigarette,794.0,0.0,
2.0,3.0,neutral,neutral,794.0,0.0,
3.0,3.0,neutral,alcohol,794.0,0.0,
3.0,3.0,neutral,cigarette,794.0,0.0,
3.0,3.0,neutral,neutral,794.0,0.0,
4.0,3.0,neutral,alcohol,794.0,0.0,
4.0,3.0,neutral,cigarette,794.0,0.0,
4.0,3.0,neutral,neutral,794.0,0.0,
5.0,3.0,neutral,alcohol,794.0,0.0,0.25
5.0,3.0,neutral,cigarette,794.0,0.0,0.5
5.0,3.0,neutral,neutral,794.0,0.0,0.25
6.0,3.0,neutral,alcohol,794.0,0.0,
6.0,3.0,neutral,cigarette,794.0,0.0,
6.0,3.0,neutral,neutral,794.0,0.0,
7.0,3.0,neutral,alcohol,794.0,0.0,
7.0,3.0,neutral,cigarette,794.0,0.0,
7.0,3.0,neutral,neutral,794.0,0.0,
8.0,3.0,neutral,alcohol,794.0,0.0,1.0
8.0,3.0,neutral,cigarette,794.0,0.0,0.0
8.0,3.0,neutral,neutral,794.0,0.0,0.0
9.0,3.0,neutral,alcohol,794.0,0.0,0.666666666667
9.0,3.0,neutral,cigarette,794.0,0.0,0.0
9.0,3.0,neutral,neutral,794.0,0.0,0.333333333333
10.0,3.0,neutral,alcohol,794.0,0.0,
10.0,3.0,neutral,cigarette,794.0,0.0,
10.0,3.0,neutral,neutral,794.0,0.0,
11.0,3.0,neutral,alcohol,794.0,0.0,
11.0,3.0,neutral,cigarette,794.0,0.0,
11.0,3.0,neutral,neutral,794.0,0.0,
12.0,3.0,neutral,alcohol,794.0,0.0,
12.0,3.0,neutral,cigarette,794.0,0.0,
12.0,3.0,neutral,neutral,794.0,0.0,
13.0,3.0,neutral,alcohol,794.0,0.0,0.352941176471
13.0,3.0,neutral,cigarette,794.0,0.0,0.117647058824
13.0,3.0,neutral,neutral,794.0,0.0,0.529411764706
