sub_id,trial_type,alc_avg_nr_fixations,cig_avg_nr_fixations,neu_avg_nr_fixations,chose_alc_alc_avg_nr_fixations,chose_alc_cig_avg_nr_fixations,chose_alc_neu_avg_nr_fixations,chose_cig_alc_avg_nr_fixations,chose_cig_cig_avg_nr_fixations,chose_cig_neu_avg_nr_fixations,chose_neu_alc_avg_nr_fixations,chose_neu_cig_avg_nr_fixations,chose_neu_neu_avg_nr_fixations,total_avg_nr_fixations,chose_alc_total_avg_nr_fixations,chose_cig_total_avg_nr_fixations,chose_neu_total_avg_nr_fixations
cret03,high_pref,1.21052631579,1.21052631579,0.421052631579,1.5,0.214285714286,0.642857142857,0.555555555556,2.33333333333,0.222222222222,1.0,0.0,1.0,2.84210526316,1.85714285714,2.18518518519,1.33333333333
cret04,high_pref,1.04081632653,0.714285714286,0.34693877551,1.18333333333,0.666666666667,0.416666666667,0.8,1.0,0.3,1.0,0.0,0.0,2.10204081633,1.76666666667,1.56666666667,1.0
cret05,high_pref,1.14925373134,0.835820895522,0.522388059701,1.12765957447,0.808510638298,0.382978723404,1.17391304348,1.04347826087,0.782608695652,,,,2.50746268657,1.79432624113,2.13043478261,
cret06,high_pref,1.12820512821,0.269230769231,0.0641025641026,1.14666666667,0.253333333333,0.0666666666667,0.666666666667,0.666666666667,0.0,,,,1.46153846154,1.33777777778,1.11111111111,
cret07,high_pref,1.18181818182,1.04545454545,0.863636363636,1.42857142857,1.19047619048,0.761904761905,1.0,1.47368421053,1.10526315789,0.928571428571,0.857142857143,1.21428571429,3.09090909091,2.47619047619,2.35087719298,1.90476190476
cret08,high_pref,0.807692307692,1.44230769231,1.0,,,,0.796875,1.453125,0.953125,1.0,1.0,1.0,3.25,,2.08333333333,2.0
cret09,high_pref,0.15625,1.0625,0.15625,,,,0.265306122449,1.32653061224,0.285714285714,,,,1.375,,1.24489795918,
cret10,high_pref,0.459459459459,0.675675675676,0.621621621622,1.05882352941,0.235294117647,0.411764705882,0.444444444444,1.18518518519,0.296296296296,0.266666666667,0.4,1.13333333333,1.75675675676,1.35294117647,1.33333333333,0.911111111111
cret11,high_pref,1.8679245283,0.754716981132,0.377358490566,2.17857142857,0.535714285714,0.25,2.5,1.21428571429,0.285714285714,0.272727272727,0.727272727273,0.818181818182,3.0,2.61904761905,3.40476190476,1.0303030303
cret14,high_pref,0.769230769231,1.0,0.538461538462,1.25,1.0,1.0,0.754098360656,1.0,0.524590163934,0.0,1.0,0.0,2.30769230769,2.25,1.5956284153,0.666666666667
cret15,high_pref,1.13888888889,1.40277777778,0.708333333333,1.24615384615,1.44615384615,0.723076923077,0.4,1.0,0.6,,,,3.25,2.45128205128,1.26666666667,
cret16,high_pref,1.17647058824,1.0,1.11764705882,1.16666666667,0.833333333333,1.0,2.0,4.0,1.0,,,,3.29411764706,2.05555555556,5.0,
cret17,high_pref,0.727272727273,1.0,1.07575757576,,,,1.03571428571,1.5,1.14285714286,0.541666666667,0.645833333333,1.25,2.80303030303,,2.41666666667,1.38888888889
cret18,high_pref,1.12903225806,0.967741935484,0.451612903226,1.31428571429,0.857142857143,0.457142857143,0.875,1.1,0.45,,,,2.54838709677,2.0380952381,1.75833333333,
