sub_id,subject_cue,selected,neu_mean_time_looking_at_pref,neu_mean_percentage_looking_at_pref,cue_mean_time_looking_at_pref,cue_mean_percentage_looking_at_pref,not_cue_mean_time_looking_at_pref,not_cue_mean_percentage_looking_at_pref,mean_response_time
cret03,alcohol,cue,136.894736842,0.235751984515,389.210526316,0.619266201694,76.7368421053,0.144981813791,1237.95280742
cret04,alcohol,cue,73.84375,0.0951895606603,438.046875,0.716292889758,139.953125,0.188517549581,815.428861391
cret05,alcohol,cue,94.1063829787,0.12324324584,381.553191489,0.644860392867,140.042553191,0.231896361293,794.781697175
cret06,alcohol,cue,14.0,0.0296364233565,266.773333333,0.853157618283,42.0533333333,0.11720595836,531.194363136
cret07,alcohol,cue,208.227272727,0.180502632819,633.545454545,0.566517961146,323.0,0.252979406035,1254.46737517
cret08,cigarette,cue,166.797101449,0.120566959643,616.797101449,0.635470933596,336.710144928,0.243962106761,1348.78870222
cret09,cigarette,cue,69.4545454545,0.142084829465,394.254545455,0.779142465786,51.6181818182,0.0787727047491,770.372952715
cret10,cigarette,cue,67.1333333333,0.090198147589,475.166666667,0.760075594072,112.733333333,0.149726258339,769.543339521
cret11,alcohol,cue,60.0303030303,0.0862925524828,326.454545455,0.686003890565,128.909090909,0.227703556952,830.845882218
cret14,cigarette,cue,124.540983607,0.19804935297,262.868852459,0.482408852095,197.491803279,0.319541794935,798.008456135
cret15,alcohol,cue,218.784615385,0.175943412824,568.553846154,0.492749338838,414.153846154,0.331307248338,1442.97809433
cret16,alcohol,cue,154.318181818,0.167008431104,653.318181818,0.665281107218,175.863636364,0.167710461678,1258.59142511
cret17,cigarette,cue,399.275862069,0.278608843164,555.931034483,0.422762974267,352.172413793,0.298628182569,1556.68517111
cret18,cigarette,cue,113.8,0.12472204314,474.8,0.571281649712,270.075,0.303996307149,1063.95794942
cret19,cigarette,cue,195.983870968,0.285063516192,298.177419355,0.489629472577,154.403225806,0.225307011231,865.184735944
cret21,cigarette,cue,78.8571428571,0.0967033065229,485.392857143,0.755814935986,93.25,0.147481757491,888.494615466
cret22,cigarette,cue,58.1111111111,0.0658316372974,407.805555556,0.765803211633,104.027777778,0.16836515107,930.688508356
