sub_id,trial_type,alc_prop_first_fixated,cig_prop_first_fixated,neu_prop_first_fixated,chose_alc_alc_prop_first_fixated,chose_alc_cig_prop_first_fixated,chose_alc_neu_prop_first_fixated,chose_cig_alc_prop_first_fixated,chose_cig_cig_prop_first_fixated,chose_cig_neu_prop_first_fixated,chose_neu_alc_prop_first_fixated,chose_neu_cig_prop_first_fixated,chose_neu_neu_prop_first_fixated
cret15,lowC_lowA,0.111111111111,0.555555555556,0.333333333333,0.0,0.0,1.0,0.117647058824,0.588235294118,0.294117647059,,,
cret16,lowC_lowA,0.166666666667,0.666666666667,0.166666666667,,,,0.0,1.0,0.0,0.2,0.6,0.2
cret17,lowC_lowA,0.388888888889,0.444444444444,0.166666666667,,,,,,,0.375,0.4375,0.1875
cret18,lowC_lowA,0.3,0.35,0.35,0.357142857143,0.428571428571,0.214285714286,1.0,0.0,0.0,,,
cret19,lowC_lowA,0.666666666667,0.25,0.0833333333333,,,,1.0,0.0,0.0,1.0,0.0,0.0
cret21,lowC_lowA,0.4,0.4,0.2,0.0,1.0,0.0,0.5,0.0,0.5,,,
cret22,lowC_lowA,0.25,0.5,0.25,0.0909090909091,0.636363636364,0.272727272727,,,,0.75,0.0,0.25
cret24,lowC_lowA,0.222222222222,0.555555555556,0.222222222222,0.111111111111,0.666666666667,0.222222222222,,,,0.428571428571,0.428571428571,0.142857142857
cret25,lowC_lowA,0.315789473684,0.421052631579,0.263157894737,0.166666666667,0.416666666667,0.416666666667,,,,0.666666666667,0.333333333333,0.0
cret26,lowC_lowA,0.384615384615,0.307692307692,0.307692307692,0.166666666667,0.333333333333,0.5,0.666666666667,0.166666666667,0.166666666667,0.0,1.0,0.0
cret27,lowC_lowA,0.4,0.5,0.1,0.333333333333,0.666666666667,0.0,,,,,,
cret28,lowC_lowA,0.266666666667,0.266666666667,0.466666666667,0.142857142857,0.285714285714,0.571428571429,0.6,0.0,0.4,0.0,1.0,0.0
cret29,lowC_lowA,0.466666666667,0.466666666667,0.0666666666667,0.3,0.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0
cret30,lowC_lowA,0.333333333333,0.333333333333,0.333333333333,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0
cret33,lowC_lowA,0.125,0.6875,0.1875,0.0666666666667,0.733333333333,0.2,,,,1.0,0.0,0.0
cret36,lowC_lowA,0.5,0.4,0.1,,,,0.0,0.0,1.0,0.555555555556,0.444444444444,0.0
cret37,lowC_lowA,0.277777777778,0.388888888889,0.333333333333,,,,0.214285714286,0.357142857143,0.428571428571,0.5,0.5,0.0
cret38,lowC_lowA,0.444444444444,0.388888888889,0.166666666667,0.166666666667,0.5,0.333333333333,0.8,0.2,0.0,0.333333333333,0.5,0.166666666667
cret39,lowC_lowA,0.25,0.45,0.3,0.375,0.5,0.125,0.2,0.4,0.4,0.0,0.5,0.5
