sub_id,preferred_pic,percentage_last_fixated_item_was_selected,mean_response_time
cret03,high_pref,0.684210526316,1237.95280742
cret04,high_pref,0.734375,815.428861391
cret05,high_pref,0.510638297872,794.781697175
cret06,high_pref,0.973333333333,531.194363136
cret07,high_pref,0.409090909091,1254.46737517
cret08,high_pref,,
cret09,high_pref,,
cret10,high_pref,0.909090909091,804.95793835
cret11,high_pref,0.666666666667,830.845882218
cret13,high_pref,,
cret14,high_pref,0.5,1028.81334404
cret15,high_pref,0.630769230769,1442.97809433
cret16,high_pref,0.636363636364,1258.59142511
cret17,high_pref,,
cret18,high_pref,0.771428571429,1196.80743979
cret19,high_pref,1.0,540.353084323
cret21,high_pref,0.8,1074.83300209
cret22,high_pref,0.625,1117.69906
cret25,high_pref,0.95,875.773833536
cret28,high_pref,0.818181818182,760.677847987
cret29,high_pref,0.655172413793,730.699380221
cret03,high_pref,0.666666666667,1098.1603354
cret04,high_pref,0.363636363636,845.076005829
cret05,high_pref,0.173913043478,1066.45900738
cret06,high_pref,0.333333333333,512.540270067
cret07,high_pref,0.571428571429,1243.99731882
cret08,high_pref,0.840579710145,1348.78870222
cret09,high_pref,0.454545454545,770.372952715
cret10,high_pref,0.733333333333,769.543339521
cret11,high_pref,0.5,867.395625763
cret13,high_pref,0.0,3840.41352211
cret14,high_pref,0.213114754098,798.008456135
cret15,high_pref,0.7,1390.00757971
cret16,high_pref,0.666666666667,1697.05534756
cret17,high_pref,0.620689655172,1556.68517111
cret18,high_pref,0.475,1063.95794942
cret19,high_pref,0.5,865.184735944
cret21,high_pref,0.785714285714,888.494615466
cret22,high_pref,0.861111111111,930.688508356
cret25,high_pref,0.923076923077,924.243203052
cret28,high_pref,0.833333333333,763.655706044
cret29,high_pref,0.633333333333,720.343683539
cret03,high_pref,0.4,759.561897169
cret04,high_pref,0.0,664.382268113
cret05,high_pref,,
cret06,high_pref,,
cret07,high_pref,0.5,1036.8614702
cret08,high_pref,0.0,2568.71568092
cret09,high_pref,,
cret10,high_pref,0.733333333333,688.311311108
cret11,high_pref,0.538461538462,819.571168167
cret13,high_pref,0.847222222222,2048.93510561
cret14,high_pref,0.0,921.564820109
cret15,high_pref,,
cret16,high_pref,1.0,2252.46721654
cret17,high_pref,0.64,1168.46935653
cret18,high_pref,,
cret19,high_pref,,
cret21,high_pref,0.666666666667,1233.94171549
cret22,high_pref,0.333333333333,1465.42029661
cret25,high_pref,0.833333333333,901.78277787
cret28,high_pref,0.0,777.263244123
cret29,high_pref,1.0,1071.73576047
