sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,CIG,cigarette,414.0,14.0,5.0,0.357142857143
1.0,1.0,CIG,neutral,414.0,14.0,5.0,0.357142857143
2.0,1.0,CIG,alcohol,414.0,47.0,30.0,0.63829787234
2.0,1.0,CIG,cigarette,414.0,47.0,13.0,0.276595744681
2.0,1.0,CIG,neutral,414.0,47.0,4.0,0.0851063829787
3.0,1.0,CIG,alcohol,414.0,58.0,39.0,0.672413793103
3.0,1.0,CIG,cigarette,414.0,58.0,14.0,0.241379310345
3.0,1.0,CIG,neutral,414.0,58.0,5.0,0.0862068965517
4.0,1.0,CIG,alcohol,414.0,0.0,0.0,
4.0,1.0,CIG,cigarette,414.0,0.0,0.0,
4.0,1.0,CIG,neutral,414.0,0.0,0.0,
5.0,1.0,CIG,alcohol,414.0,20.0,12.0,0.6
5.0,1.0,CIG,cigarette,414.0,20.0,5.0,0.25
5.0,1.0,CIG,neutral,414.0,20.0,3.0,0.15
6.0,1.0,CIG,alcohol,414.0,49.0,12.0,0.244897959184
6.0,1.0,CIG,cigarette,414.0,49.0,34.0,0.69387755102
6.0,1.0,CIG,neutral,414.0,49.0,3.0,0.0612244897959
7.0,1.0,CIG,alcohol,414.0,24.0,0.0,0.0
7.0,1.0,CIG,cigarette,414.0,24.0,24.0,1.0
7.0,1.0,CIG,neutral,414.0,24.0,0.0,0.0
8.0,1.0,CIG,alcohol,414.0,34.0,7.0,0.205882352941
8.0,1.0,CIG,cigarette,414.0,34.0,13.0,0.382352941176
8.0,1.0,CIG,neutral,414.0,34.0,14.0,0.411764705882
9.0,1.0,CIG,alcohol,414.0,0.0,0.0,
9.0,1.0,CIG,cigarette,414.0,0.0,0.0,
9.0,1.0,CIG,neutral,414.0,0.0,0.0,
10.0,1.0,CIG,alcohol,414.0,56.0,12.0,0.214285714286
10.0,1.0,CIG,cigarette,414.0,56.0,40.0,0.714285714286
10.0,1.0,CIG,neutral,414.0,56.0,4.0,0.0714285714286
11.0,1.0,CIG,alcohol,414.0,70.0,22.0,0.314285714286
11.0,1.0,CIG,cigarette,414.0,70.0,28.0,0.4
11.0,1.0,CIG,neutral,414.0,70.0,20.0,0.285714285714
12.0,1.0,CIG,alcohol,414.0,14.0,8.0,0.571428571429
12.0,1.0,CIG,cigarette,414.0,14.0,2.0,0.142857142857
12.0,1.0,CIG,neutral,414.0,14.0,4.0,0.285714285714
13.0,1.0,CIG,alcohol,414.0,57.0,10.0,0.175438596491
13.0,1.0,CIG,cigarette,414.0,57.0,15.0,0.263157894737
13.0,1.0,CIG,neutral,414.0,57.0,32.0,0.561403508772
14.0,1.0,CIG,alcohol,414.0,54.0,23.0,0.425925925926
14.0,1.0,CIG,cigarette,414.0,54.0,24.0,0.444444444444
14.0,1.0,CIG,neutral,414.0,54.0,7.0,0.12962962963
15.0,1.0,CIG,alcohol,414.0,8.0,0.0,0.0
15.0,1.0,CIG,cigarette,414.0,8.0,8.0,1.0
15.0,1.0,CIG,neutral,414.0,8.0,0.0,0.0
16.0,1.0,CIG,alcohol,414.0,21.0,4.0,0.190476190476
16.0,1.0,CIG,cigarette,414.0,21.0,15.0,0.714285714286
16.0,1.0,CIG,neutral,414.0,21.0,2.0,0.0952380952381
17.0,1.0,CIG,alcohol,414.0,28.0,6.0,0.214285714286
17.0,1.0,CIG,cigarette,414.0,28.0,16.0,0.571428571429
17.0,1.0,CIG,neutral,414.0,28.0,6.0,0.214285714286
18.0,1.0,CIG,alcohol,414.0,20.0,4.0,0.2
18.0,1.0,CIG,cigarette,414.0,20.0,9.0,0.45
18.0,1.0,CIG,neutral,414.0,20.0,7.0,0.35
19.0,1.0,CIG,alcohol,414.0,55.0,19.0,0.345454545455
19.0,1.0,CIG,cigarette,414.0,55.0,15.0,0.272727272727
