sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
6.0,3.0,cigarette,neutral,89.0,0.142857142857
7.0,3.0,cigarette,alcohol,89.0,0.222222222222
7.0,3.0,cigarette,cigarette,89.0,0.555555555556
7.0,3.0,cigarette,neutral,89.0,0.222222222222
8.0,3.0,cigarette,alcohol,89.0,0.0833333333333
8.0,3.0,cigarette,cigarette,89.0,0.833333333333
8.0,3.0,cigarette,neutral,89.0,0.0833333333333
9.0,3.0,cigarette,alcohol,89.0,0.0
9.0,3.0,cigarette,cigarette,89.0,1.0
9.0,3.0,cigarette,neutral,89.0,0.0
10.0,3.0,cigarette,alcohol,89.0,0.0
10.0,3.0,cigarette,cigarette,89.0,0.5
10.0,3.0,cigarette,neutral,89.0,0.5
11.0,3.0,cigarette,alcohol,89.0,0.2
11.0,3.0,cigarette,cigarette,89.0,0.8
11.0,3.0,cigarette,neutral,89.0,0.0
12.0,3.0,cigarette,alcohol,89.0,
12.0,3.0,cigarette,cigarette,89.0,
12.0,3.0,cigarette,neutral,89.0,
13.0,3.0,cigarette,alcohol,89.0,
13.0,3.0,cigarette,cigarette,89.0,
13.0,3.0,cigarette,neutral,89.0,
14.0,3.0,cigarette,alcohol,89.0,
14.0,3.0,cigarette,cigarette,89.0,
14.0,3.0,cigarette,neutral,89.0,
15.0,3.0,cigarette,alcohol,89.0,0.315789473684
15.0,3.0,cigarette,cigarette,89.0,0.473684210526
15.0,3.0,cigarette,neutral,89.0,0.210526315789
16.0,3.0,cigarette,alcohol,89.0,0.142857142857
16.0,3.0,cigarette,cigarette,89.0,0.857142857143
16.0,3.0,cigarette,neutral,89.0,0.0
17.0,3.0,cigarette,alcohol,89.0,
17.0,3.0,cigarette,cigarette,89.0,
17.0,3.0,cigarette,neutral,89.0,
18.0,3.0,cigarette,alcohol,89.0,
18.0,3.0,cigarette,cigarette,89.0,
18.0,3.0,cigarette,neutral,89.0,
19.0,3.0,cigarette,alcohol,89.0,
19.0,3.0,cigarette,cigarette,89.0,
19.0,3.0,cigarette,neutral,89.0,
20.0,3.0,cigarette,alcohol,89.0,
20.0,3.0,cigarette,cigarette,89.0,
20.0,3.0,cigarette,neutral,89.0,
21.0,3.0,cigarette,alcohol,89.0,0.142857142857
21.0,3.0,cigarette,cigarette,89.0,0.571428571429
21.0,3.0,cigarette,neutral,89.0,0.285714285714
22.0,3.0,cigarette,alcohol,89.0,0.2
22.0,3.0,cigarette,cigarette,89.0,0.6
22.0,3.0,cigarette,neutral,89.0,0.2
23.0,3.0,cigarette,alcohol,89.0,0.666666666667
23.0,3.0,cigarette,cigarette,89.0,0.333333333333
23.0,3.0,cigarette,neutral,89.0,0.0
24.0,3.0,cigarette,alcohol,89.0,0.2
24.0,3.0,cigarette,cigarette,89.0,0.4
24.0,3.0,cigarette,neutral,89.0,0.4
25.0,3.0,cigarette,alcohol,89.0,0.0
25.0,3.0,cigarette,cigarette,89.0,1.0
25.0,3.0,cigarette,neutral,89.0,0.0
26.0,3.0,cigarette,alcohol,89.0,0.0
26.0,3.0,cigarette,cigarette,89.0,1.0
26.0,3.0,cigarette,neutral,89.0,0.0
27.0,3.0,cigarette,alcohol,89.0,0.263157894737
27.0,3.0,cigarette,cigarette,89.0,0.473684210526
27.0,3.0,cigarette,neutral,89.0,0.263157894737
28.0,3.0,cigarette,alcohol,89.0,0.0
28.0,3.0,cigarette,cigarette,89.0,0.0
28.0,3.0,cigarette,neutral,89.0,1.0
29.0,3.0,cigarette,alcohol,89.0,0.333333333333
29.0,3.0,cigarette,cigarette,89.0,0.666666666667
29.0,3.0,cigarette,neutral,89.0,0.0
1.0,3.0,neutral,alcohol,89.0,
1.0,3.0,neutral,cigarette,89.0,
1.0,3.0,neutral,neutral,89.0,
2.0,3.0,neutral,alcohol,89.0,
2.0,3.0,neutral,cigarette,89.0,
2.0,3.0,neutral,neutral,89.0,
3.0,3.0,neutral,alcohol,89.0,0.0
3.0,3.0,neutral,cigarette,89.0,1.0
3.0,3.0,neutral,neutral,89.0,0.0
4.0,3.0,neutral,alcohol,89.0,
4.0,3.0,neutral,cigarette,89.0,
4.0,3.0,neutral,neutral,89.0,
5.0,3.0,neutral,alcohol,89.0,0.4
5.0,3.0,neutral,cigarette,89.0,0.4
5.0,3.0,neutral,neutral,89.0,0.2
6.0,3.0,neutral,alcohol,89.0,
6.0,3.0,neutral,cigarette,89.0,
6.0,3.0,neutral,neutral,89.0,
7.0,3.0,neutral,alcohol,89.0,
7.0,3.0,neutral,cigarette,89.0,
7.0,3.0,neutral,neutral,89.0,
8.0,3.0,neutral,alcohol,89.0,0.0
8.0,3.0,neutral,cigarette,89.0,0.5
8.0,3.0,neutral,neutral,89.0,0.5
9.0,3.0,neutral,alcohol,89.0,0.0
9.0,3.0,neutral,cigarette,89.0,0.0
9.0,3.0,neutral,neutral,89.0,1.0
10.0,3.0,neutral,alcohol,89.0,
10.0,3.0,neutral,cigarette,89.0,
10.0,3.0,neutral,neutral,89.0,
11.0,3.0,neutral,alcohol,89.0,
11.0,3.0,neutral,cigarette,89.0,
11.0,3.0,neutral,neutral,89.0,
12.0,3.0,neutral,alcohol,89.0,
12.0,3.0,neutral,cigarette,89.0,
12.0,3.0,neutral,neutral,89.0,
13.0,3.0,neutral,alcohol,89.0,0.166666666667
13.0,3.0,neutral,cigarette,89.0,0.3
13.0,3.0,neutral,neutral,89.0,0.533333333333
14.0,3.0,neutral,alcohol,89.0,
14.0,3.0,neutral,cigarette,89.0,
14.0,3.0,neutral,neutral,89.0,
15.0,3.0,neutral,alcohol,89.0,
15.0,3.0,neutral,cigarette,89.0,
15.0,3.0,neutral,neutral,89.0,
16.0,3.0,neutral,alcohol,89.0,0.25
16.0,3.0,neutral,cigarette,89.0,0.25
16.0,3.0,neutral,neutral,89.0,0.5
17.0,3.0,neutral,alcohol,89.0,0.2
17.0,3.0,neutral,cigarette,89.0,0.1
17.0,3.0,neutral,neutral,89.0,0.7
18.0,3.0,neutral,alcohol,89.0,1.0
18.0,3.0,neutral,cigarette,89.0,0.0
18.0,3.0,neutral,neutral,89.0,0.0
19.0,3.0,neutral,alcohol,89.0,0.25
19.0,3.0,neutral,cigarette,89.0,0.0
19.0,3.0,neutral,neutral,89.0,0.75
20.0,3.0,neutral,alcohol,89.0,0.0
20.0,3.0,neutral,cigarette,89.0,0.444444444444
20.0,3.0,neutral,neutral,89.0,0.555555555556
21.0,3.0,neutral,alcohol,89.0,0.0
21.0,3.0,neutral,cigarette,89.0,0.0
21.0,3.0,neutral,neutral,89.0,1.0
22.0,3.0,neutral,alcohol,89.0,
22.0,3.0,neutral,cigarette,89.0,
22.0,3.0,neutral,neutral,89.0,
23.0,3.0,neutral,alcohol,89.0,0.5
23.0,3.0,neutral,cigarette,89.0,0.0
23.0,3.0,neutral,neutral,89.0,0.5
24.0,3.0,neutral,alcohol,89.0,0.5
24.0,3.0,neutral,cigarette,89.0,0.333333333333
24.0,3.0,neutral,neutral,89.0,0.166666666667
25.0,3.0,neutral,alcohol,89.0,1.0
25.0,3.0,neutral,cigarette,89.0,0.0
25.0,3.0,neutral,neutral,89.0,0.0
26.0,3.0,neutral,alcohol,89.0,0.0588235294118
26.0,3.0,neutral,cigarette,89.0,0.0588235294118
26.0,3.0,neutral,neutral,89.0,0.882352941176
27.0,3.0,neutral,alcohol,89.0,0.125
27.0,3.0,neutral,cigarette,89.0,0.375
27.0,3.0,neutral,neutral,89.0,0.5
28.0,3.0,neutral,alcohol,89.0,0.0
28.0,3.0,neutral,cigarette,89.0,0.0
28.0,3.0,neutral,neutral,89.0,1.0
29.0,3.0,neutral,alcohol,89.0,
29.0,3.0,neutral,cigarette,89.0,
29.0,3.0,neutral,neutral,89.0,
