sub_id,trial_type,alc_avg_nr_fixations,cig_avg_nr_fixations,neu_avg_nr_fixations,chose_alc_alc_avg_nr_fixations,chose_alc_cig_avg_nr_fixations,chose_alc_neu_avg_nr_fixations,chose_cig_alc_avg_nr_fixations,chose_cig_cig_avg_nr_fixations,chose_cig_neu_avg_nr_fixations,chose_neu_alc_avg_nr_fixations,chose_neu_cig_avg_nr_fixations,chose_neu_neu_avg_nr_fixations
cret10,lowC_lowA,0.8,0.4,0.2,1.18181818182,0.727272727273,0.363636363636,1.0,1.5,0.5,0.5,0.5,1.0
cret11,lowC_lowA,0.928571428571,0.714285714286,0.857142857143,2.0,1.0,1.0,1.0,1.0,1.0,0.833333333333,0.666666666667,0.916666666667
cret14,lowC_lowA,1.4,1.0,1.06666666667,1.46153846154,1.0,1.07692307692,1.0,1.0,1.0,,,
cret15,lowC_lowA,1.16666666667,1.44444444444,0.888888888889,1.0,1.0,1.0,1.17647058824,1.47058823529,0.882352941176,,,
cret16,lowC_lowA,1.33333333333,1.0,1.0,,,,1.0,0.0,1.0,1.4,1.2,1.0
cret17,lowC_lowA,0.875,0.8125,1.0625,,,,,,,0.833333333333,0.722222222222,1.0
cret18,lowC_lowA,2.0,1.26666666667,1.13333333333,1.84210526316,1.36842105263,1.21052631579,2.0,2.0,1.0,,,
cret19,lowC_lowA,0.0,0.75,0.25,1.0,0.0,0.0,0.3,0.8,0.3,0.0,0.0,1.0
cret21,lowC_lowA,0.75,0.75,0.0,1.0,0.0,0.0,0.333333333333,1.33333333333,0.0,,,
cret22,lowC_lowA,1.46666666667,0.933333333333,1.13333333333,1.66666666667,0.833333333333,1.0,,,,1.0,1.25,1.5
cret24,lowC_lowA,1.3125,1.0625,1.0625,1.2,1.0,0.8,3.0,3.0,1.0,1.42857142857,1.14285714286,1.28571428571
cret25,lowC_lowA,1.0,0.888888888889,0.722222222222,1.15384615385,0.923076923077,0.615384615385,,,,0.666666666667,0.833333333333,1.0
cret26,lowC_lowA,1.23076923077,1.23076923077,1.07692307692,1.16666666667,0.666666666667,1.0,1.16666666667,1.66666666667,1.0,2.0,2.0,2.0
cret27,lowC_lowA,0.666666666667,0.333333333333,0.0,0.666666666667,0.666666666667,0.111111111111,0.0,1.0,0.0,,,
cret28,lowC_lowA,0.846153846154,1.07692307692,0.307692307692,1.14285714286,1.14285714286,0.428571428571,0.571428571429,0.857142857143,0.428571428571,1.0,1.0,1.0
cret29,lowC_lowA,0.714285714286,0.571428571429,0.642857142857,0.909090909091,0.545454545455,0.545454545455,0.333333333333,1.0,0.666666666667,0.0,0.0,1.0
cret30,lowC_lowA,1.0,1.0,1.0,2.5,2.0,1.5,0.5,0.333333333333,0.166666666667,1.0,1.0,3.0
cret33,lowC_lowA,1.25,0.6875,0.8125,1.2,0.666666666667,0.733333333333,,,,2.0,1.0,2.0
cret36,lowC_lowA,0.7,0.5,1.2,,,,1.0,2.0,1.0,0.666666666667,0.333333333333,1.22222222222
cret37,lowC_lowA,1.22222222222,1.0,1.05555555556,,,,1.28571428571,1.0,1.0,1.0,1.0,1.25
cret38,lowC_lowA,1.82352941176,1.64705882353,1.41176470588,1.33333333333,1.16666666667,0.666666666667,2.6,2.4,1.8,1.71428571429,1.71428571429,1.85714285714
cret39,lowC_lowA,2.4,2.26666666667,2.26666666667,2.41666666667,1.66666666667,1.66666666667,2.33333333333,3.16666666667,2.83333333333,2.5,3.0,3.5
